"Timestamp","Type","Value","Notes"
"9/1/2016 6:56:00 AM","Weight Kilograms","77.75",""
"9/1/2016 6:56:00 AM","Percent Fat","17.78",""
"9/2/2016 7:08:00 AM","Weight Kilograms","77.50",""
"9/2/2016 7:08:00 AM","Percent Fat","17.56",""
"9/3/2016 8:16:00 AM","Weight Kilograms","77.80",""
"9/3/2016 8:16:00 AM","Percent Fat","17.44",""
"9/4/2016 6:45:00 AM","Weight Kilograms","78.40",""
"9/4/2016 6:45:00 AM","Percent Fat","18.03",""
"9/5/2016 7:11:00 AM","Weight Kilograms","77.85",""
"9/5/2016 7:11:00 AM","Percent Fat","17.39",""
"9/6/2016 6:21:00 AM","Weight Kilograms","77.85",""
"9/6/2016 6:21:00 AM","Percent Fat","17.80",""
"9/7/2016 6:59:00 AM","Weight Kilograms","77.70",""
"9/7/2016 6:59:00 AM","Percent Fat","17.91",""
"9/8/2016 6:28:00 AM","Weight Kilograms","76.35",""
"9/8/2016 6:28:00 AM","Percent Fat","17.02",""
"9/9/2016 6:16:00 AM","Weight Kilograms","78.15",""
"9/9/2016 6:16:00 AM","Percent Fat","17.56",""
"9/10/2016 7:42:00 AM","Weight Kilograms","77.30",""
"9/10/2016 7:42:00 AM","Percent Fat","17.76",""
"9/11/2016 6:43:00 AM","Weight Kilograms","76.95",""
"9/11/2016 6:43:00 AM","Percent Fat","17.80",""
"9/12/2016 5:59:00 AM","Weight Kilograms","77.45",""
"9/12/2016 5:59:00 AM","Percent Fat","17.41",""
