"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Bike","WU: 15 Minutes of easy pedaling, work up into your Level 2 effort by end of 15 minute warm-up (POWER: Level 2 / HR: Zone 2 / PE: 4-5)  MS: Long ride with group or alone, focus most time in L2 ENDurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5), as part of ride by completing 1 x 30 - 40 minutes TEMPO effort focusing on keeping watts in the TEMPO L3 Zone (POWER: Level 3 / HR: Zone 3 / PE: 5-6). Focus on ""mixing"" your spin cadence during the tempo. Terrian: Mixed. Cadence 85 - 105 (80 - 90 in Tempo) CD: 10 - 15 Minutes of easy pedaling","Custom","Custom","1.25","","9/1/2016","","37185.69921875","193","542","818.991","","1.34856608072917","7.65999984741211","","83","","134","163","","","0.743025209457209","74.04","40","33","1","2","0","0","0","","","","20","25","24","8","2","2","","","",""
"Custom","Relax. Watch TV. Take a walk. Stretch. Enjoy the day. IF you need to skip a workout this week, then skip either the Thursday easy ride or Friday's ride. That will reduce some hours.","Custom","Custom","","","9/2/2016","WATCH your food intake today. Do not overeat. Eat a normal to small amount of food today. Your body will be craving tons of food today, but resist!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","0.75","","9/2/2016","","","","",""," *02/09/2016 Ralph Rogge: 10' Bike max L10/110rpm. 3x12: CP 37.5kg 8/10; LOB 35kg 8/10; PEC 27.5kg 8/10; LOR 40kg 8/10. 3x20 CR.*","0.633333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Make sure you are reading the PRE-ACTIVITY COMMENTS AS WELL!!! WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","2.5","","9/3/2016","This can be done with a group, just try to hit the target training levels! Do not eat before riding. Only black coffee. Take food for the road, protein packed sandwiches, etc. and begin eating at hour 2! This is so critical to teaching your body to burn fat at a higher rate of exercise. Do your best, but no bonking allowed! So if you start to bonk before the 2 hour mark, then you need to eat then. Don't worry, you'll get better at this as you continue on the plan.","66767.921875","187","769","1437.274"," *03/09/2016 Ralph Rogge: Eine größere Runde. Ging gut. Auf dem Rückweg nach 2h bei Allensbach ein Käse(-eiweiß-)brot gegessen. Andreas Eschbach: Herr aller Dinge.*","2.41873046875","7.66800022125244","","82","","124","166","","","0.720722768897231","126.37","119","10","0","1","0","0","0","","","","38","55","35","9","4","4","","","",""
"Bike","WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","2.25","","9/4/2016","This can be done with a group, just try to hit the target training levels! Do not eat before riding. Only black coffee. Take food for the road, protein packed sandwiches, etc. and begin eating at hour 2! This is so critical to teaching your body to burn fat at a higher rate of exercise. Do your best, but no bonking allowed! So if you start to bonk before the 2 hour mark, then you need to eat then. Don't worry, you'll get better at this as you continue on the plan.","62572.7109375","195","596","1404.262"," *04/09/2016 Ralph Rogge: Ging gut. Nach 2 Stunden bei Allensbach ein Käse(-eiweiß-)brot gegessen. Andreas Eschbach: der Herr aller Dinge.*","2.25991943359375","7.69099998474121","","81","","129","173","","","0.845981404438614","162.03","102","11","4","9","0","0","0","","","","40","42","28","11","5","10","","","",""
"Custom","Relax. Watch TV. Take a walk. Stretch. Enjoy the day. IF you need to skip a workout this week, then skip either the Thursday easy ride or Friday's ride. That will reduce some hours.","Custom","Custom","","","9/5/2016","Today would be great to go do a Yoga class. WATCH your food intake today. Do not overeat. Eat a normal to small amount of food today. Your body will be craving tons of food today, but resist!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","","Custom","Custom","0.75","","9/5/2016","","","","",""," *05/09/2016 Ralph Rogge: 10' Bike max L10/110rpm. 3x12: CP 37.5kg 8/10; LOB 35kg 8/10; PEC 27.5kg 8/10; LOR 40kg 8/10. 3x20 CR.*","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","By now, you should be really enjoying this workout! Get ready and go for it! WU: 15 Minutes of easy pedaling, work up into your Level 2 effort by end of 15 minute warm-up (POWER: Level 2 / HR: Zone 2 / PE: 4-5)  MS: Long ride with group or alone, focus most time in L2 ENDurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5), as part of ride by completing 1 x 30 - 40 minutes TEMPO effort focusing on keeping watts in the TEMPO L3 Zone (POWER: Level 3 / HR: Zone 3 / PE: 5-6). Focus on ""mixing"" your spin cadence during the tempo. Terrian: Mixed. Cadence 85 - 105 (80 - 90 in Tempo) CD: 10 - 15 Minutes of easy pedaling","Custom","Custom","1.25","","9/6/2016","","40893.5703125","185","563","905.115"," *06/09/2016 Ralph Rogge: Ging gut. Andreas Eschbach: Der herr aller Dinge.*","1.56100531684028","7.27699995040894","","82","","132","160","","","0.718993172433519","80.55","44","37","2","0","0","0","0","","","","26","31","26","7","2","2","","","",""
"Bike","WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","1","","9/7/2016","","30792.41015625","168","548","624.683"," *07/09/2016 Ralph Rogge: Ging gut. Am Ende den Sattel noch ca 1cm nach vorne geschoben. Andreas Eschbach. Der Herr aller Dinge.*","1.20713609483507","7.08599996566772","","79","","121","140","","","0.645599507073661","50.18","59","1","0","0","0","0","0","","","","28","28","11","4","2","1","","","",""
"Bike","WU: 15 Minutes working ENDurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: SST Intervals. On trainer, out on road or in a group, SST intervals are part of our continued effort to build and maintain base. Complete 2 x 15 Minute Intervals in the ""Sweet Spot"" zone (POWER: Level 3.5 / HR Zone 3.5 / PE 6-7) with 5 minutes recovery in-between, Ride all other time in Level 2 ENDurance zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5).  Terrain: Flat to Rolling; Cadence: 85 - 105. CD: 10-15 Minutes","Custom","Custom","1.5","","9/8/2016","","38054.05078125","191","782","825.431"," *08/09/2016 Ralph Rogge: Gung gut. Gegen Ende des 2. Intervalls noch schnell ein Segment gemacht. Andreas Eschbach: Herr aller Dinge,*","1.38465549045139","7.63399982452393","","80","","133","178","","","0.782646706176237","84.91","39","29","4","1","1","1","0","","","","25","25","18","9","3","3","","","",""
"Strength","","Custom","Custom","0.75","","9/9/2016","","","","",""," *09/09/2016 Ralph Rogge: 10' Bike max L10/110rpm. 3x12: CP 37.5kg 8/10; LOB 35kg 8/10; PEC 27.5kg 8/10; LOR 40kg 8/10, AD 30kg 8/10; AB 45kg 8/10. 3x20 CR, Stretching.*","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Custom","You deserve it! You ROCK!!! Relax. Watch TV. Take a walk. Stretch. Enjoy the day. IF you need to skip a workout this week, then skip either the Thursday easy ride or Friday's ride. That will reduce some hours.","Custom","Custom","","","9/9/2016","WATCH your food intake today. Do not overeat. Eat a normal to small amount of food today. Your body will be craving tons of food today, but resist!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","READ my pre-activity comments for you. Super important!!! WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","3","","9/10/2016","Please eat before this workout! Not a heavy meal, but should have some protein and complex carbs. You are going to need the energy for this one! This can be done with a group, just try to hit the target training levels!","98156.1796875","204","749","2204.071"," *10/09/2016 Ralph Rogge: Viel zu schnell unterwegs gewesen vor allem am Anfang. Windschattenspende bis Stein am Rhein für Bodenseemarathonradler. Andreas Eschbach: Herr aller Dinge.*","3.43654405381944","7.93400001525879","","79","","146","178","","","0.805855977951959","222.17","44","80","43","26","5","2","0","","","","52","57","49","27","10","12","","","",""
"Bike","WU: 10 Minutes working into your ENDurance zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5). Then complete 3 sets of 1 Minute fast pedals with 1 minute rest in-between to open up legs MS: Building Endurance today! Once warmed up, ride in your ENDURANCE zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) over flat to rolling terrain. Focus on staying relaxed on the bike and spinning circles while keeping cadence between 90-100. During the last hour of the ride complete one 30 minute TEMPO effort (POWER: Level 3 / HR: Zone 3 / PE: 5-6) using a gear that results in a cadence of 75-85. Complete the TEMPO effort as close to the end of the ride as possible while still allowing 10 minutes for warm down. WD: 10 Minutes of easy spinning","Custom","Custom","2","","9/11/2016","Do not eat before riding. Only black coffee. Take food for the road, protein packed sandwiches, etc. and begin eating at hour 2!","54161.921875","185","788","1181.288"," *11/09/2016 Ralph Rogge: Ein bisschen mühsam war die Temposektion gegen Ende schon. Andreas Eschbach: Herr aller Dinge.*","1.95357449001736","7.70100021362305","","79","","127","163","","","0.750852469301249","109.75","86","19","1","0","0","0","0","","","","34","40","24","11","4","3","","","",""
"Custom","This is a rest week. Take it easy and don't push it. Enjoy the time. Get in some stretching and maybe some yoga. Enjoy the time and let your body become refreshed. Your metabolism is really starting to ramp up and your body will think that you have another hard week of training coming. This means that you'll be hungry this week as your body tries to fuel up for the work that it thinks is coming. This week is critical to watch your food intake, so resist, resist the urge to over-eat. Drink plenty of water everytime you feel hungry. It's possible that you could lose 2-5lbs. of fat this week!","Custom","Custom","","","9/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","1","","9/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Custom","Relax. Watch TV. Take a walk. Stretch. Enjoy the day.","Custom","Custom","","","9/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","WU: 10 Minutes working Endurance (POWER: Level 2 / HR: Zone 2 / PE: 4-5) with 2 x 1 minute Fast Pedals to wake up legs MS: Today is simple, ride prescribed time in the ENDurance Zone (POWER: Level 2 / HR: Zone 2 / PE: 4-5) Vary cadence throughout ride and work on pedaling form. Practice “coming over the top” and “pulling through the bottom” of the pedal (pretend there is glass in shoes). Enjoy the day!! Terrain: Flat to Rolling; Cadence: 85 - 105.","Custom","Custom","1","","9/15/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Custom","Relax. Watch TV. Take a walk. Stretch. Enjoy the day.","Custom","Custom","","","9/16/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
